timestamp,pitch,yaw,roll,lat,lon,alt,velocity_x,velocity_y,velocity_z,battery,heading,airspeed,groundspeed
53,-0.013126031495630741,-3.137165069580078,0.2218104898929596,36.7144065,3.1815721,17.64,-3.39,0.01,0.04,75,180,3.398836374282837,3.3985891342163086
54,-0.43092986941337585,-2.197793483734131,0.10893861204385757,36.7143649,3.18154,17.63,-3.03,-3.95,0.01,74,234,4.984563827514648,4.984532833099365
55,-0.4526790976524353,-2.146958589553833,0.02637697383761406,36.7143161,3.1814472,17.63,-4.22,-6.71,0.0,74,236,7.929285526275635,7.929283142089844
56,-0.47527992725372314,-2.148834228515625,-0.01969834603369236,36.7142425,3.1813023,17.64,-4.92,-7.74,0.0,73,236,9.177326202392578,9.177322387695312
57,-0.3180873394012451,-2.152787923812866,0.029783882200717926,36.7141764,3.1811744,17.66,-4.64,-7.16,0.0,73,236,8.540643692016602,8.540639877319336
58,-0.22580908238887787,-2.144620656967163,-0.005575285293161869,36.7141191,3.1810635,17.65,-3.77,-5.96,0.03,73,237,7.061798572540283,7.061731815338135
59,-0.2562577426433563,-2.112225294113159,0.04085477441549301,36.7140638,3.18095,17.63,-3.3,-5.63,0.01,72,238,6.53554105758667,6.5355329513549805
60,-0.26485496759414673,-2.1000332832336426,-0.01803114451467991,36.7140199,3.1808553,17.63,-3.22,-5.66,0.0,72,239,6.519209384918213,6.519205093383789
61,-0.120174340903759,-2.0997467041015625,0.021687079221010208,36.7139699,3.180746,17.64,-2.93,-5.14,0.0,71,239,5.923758506774902,5.923758029937744
62,0.13164451718330383,-2.1006815433502197,-0.02745731920003891,36.7139379,3.1806767,17.61,-1.59,-2.76,0.03,71,239,3.1899805068969727,3.1898193359375
63,0.11705175787210464,-2.1004738807678223,-0.007799984887242317,36.7139267,3.1806517,17.62,-0.06,-0.13,-0.01,71,239,0.14523127675056458,0.14437784254550934
64,-0.03496760502457619,-2.102912425994873,0.0701725110411644,36.7139278,3.1806535,17.59,0.23,0.04,0.03,70,239,0.24533452093601227,0.2423037439584732
